year,url
1933,https://www.baseball-almanac.com/yearly/yr1933a.shtml
1933,https://www.baseball-almanac.com/yearly/yr1933n.shtml
1934,https://www.baseball-almanac.com/yearly/yr1934a.shtml
1934,https://www.baseball-almanac.com/yearly/yr1934n.shtml
1935,https://www.baseball-almanac.com/yearly/yr1935n.shtml
1935,https://www.baseball-almanac.com/yearly/yr1935a.shtml
1936,https://www.baseball-almanac.com/yearly/yr1936a.shtml
1936,https://www.baseball-almanac.com/yearly/yr1936n.shtml
1937,https://www.baseball-almanac.com/yearly/yr1937n.shtml
1937,https://www.baseball-almanac.com/yearly/yr1937a.shtml
1938,https://www.baseball-almanac.com/yearly/yr1938a.shtml
1938,https://www.baseball-almanac.com/yearly/yr1938n.shtml
1939,https://www.baseball-almanac.com/yearly/yr1939n.shtml
1939,https://www.baseball-almanac.com/yearly/yr1939a.shtml
1940,https://www.baseball-almanac.com/yearly/yr1940a.shtml
1940,https://www.baseball-almanac.com/yearly/yr1940n.shtml
1941,https://www.baseball-almanac.com/yearly/yr1941n.shtml
1941,https://www.baseball-almanac.com/yearly/yr1941a.shtml
1942,https://www.baseball-almanac.com/yearly/yr1942a.shtml
1942,https://www.baseball-almanac.com/yearly/yr1942n.shtml
1943,https://www.baseball-almanac.com/yearly/yr1943n.shtml
1943,https://www.baseball-almanac.com/yearly/yr1943a.shtml
1944,https://www.baseball-almanac.com/yearly/yr1944a.shtml
1944,https://www.baseball-almanac.com/yearly/yr1944n.shtml
1945,https://www.baseball-almanac.com/yearly/yr1945n.shtml
1945,https://www.baseball-almanac.com/yearly/yr1945a.shtml
1946,https://www.baseball-almanac.com/yearly/yr1946a.shtml
1946,https://www.baseball-almanac.com/yearly/yr1946n.shtml
1947,https://www.baseball-almanac.com/yearly/yr1947a.shtml
1947,https://www.baseball-almanac.com/yearly/yr1947n.shtml
1948,https://www.baseball-almanac.com/yearly/yr1948n.shtml
1948,https://www.baseball-almanac.com/yearly/yr1948a.shtml
1949,https://www.baseball-almanac.com/yearly/yr1949n.shtml
1949,https://www.baseball-almanac.com/yearly/yr1949a.shtml
1950,https://www.baseball-almanac.com/yearly/yr1950a.shtml
1950,https://www.baseball-almanac.com/yearly/yr1950n.shtml
1951,https://www.baseball-almanac.com/yearly/yr1951n.shtml
1951,https://www.baseball-almanac.com/yearly/yr1951a.shtml
1952,https://www.baseball-almanac.com/yearly/yr1952a.shtml
1952,https://www.baseball-almanac.com/yearly/yr1952n.shtml
1953,https://www.baseball-almanac.com/yearly/yr1953n.shtml
1953,https://www.baseball-almanac.com/yearly/yr1953a.shtml
1954,https://www.baseball-almanac.com/yearly/yr1954a.shtml
1954,https://www.baseball-almanac.com/yearly/yr1954n.shtml
1955,https://www.baseball-almanac.com/yearly/yr1955n.shtml
1955,https://www.baseball-almanac.com/yearly/yr1955a.shtml
1956,https://www.baseball-almanac.com/yearly/yr1956a.shtml
1956,https://www.baseball-almanac.com/yearly/yr1956n.shtml
1957,https://www.baseball-almanac.com/yearly/yr1957n.shtml
1957,https://www.baseball-almanac.com/yearly/yr1957a.shtml
1958,https://www.baseball-almanac.com/yearly/yr1958a.shtml
